id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",PM2.5,35,117,77,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",PM10,45,104,81,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",NO2,17,60,29,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",NH3,3,4,3,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",SO2,10,31,20,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",CO,12,40,30,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","04-12-2020 12:00:00",OZONE,17,62,29,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",PM2.5,61,157,96,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",PM10,68,136,105,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",NO2,10,38,23,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",NH3,2,3,3,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",SO2,10,35,20,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",CO,21,64,52,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","04-12-2020 12:00:00",OZONE,47,114,99,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",PM2.5,2,65,20,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",PM10,2,66,19,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",NO2,11,34,20,NA
18,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",NH3,1,2,1,NA
19,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",SO2,3,11,7,NA
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",CO,34,42,35,NA
id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
21,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","04-12-2020 12:00:00",OZONE,24,59,26,NA
22,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","04-12-2020 12:00:00",PM2.5,75,180,120,NA
